Name Position Velocity
id	name	x	y	velo
0	V0	2.0	0.0	2.0
1	V1	12.0	0.0	2.0
2	V2	23.0	0.0	3.0
3	V3	32.5	0.0	2.5
4	V4	42.5	0.0	2.5
5	V5	3.0	10.0	3.0
6	V6	12.0	10.0	2.0
7	V7	22.0	10.0	2.0
8	V8	33.0	10.0	3.0
9	V9	43.0	10.0	3.0
10	V10	3.0	20.0	3.0
11	V11	12.5	20.0	2.5
12	V12	23.0	20.0	3.0
13	V13	32.5	20.0	2.5
14	V14	42.5	20.0	2.5
15	V15	2.5	30.0	2.5
16	V16	13.0	30.0	3.0
17	V17	22.0	30.0	2.0
18	V18	33.0	30.0	3.0
19	V19	42.0	30.0	2.0
20	V20	2.5	40.0	2.5
21	V21	13.0	40.0	3.0
22	V22	22.0	40.0	2.0
23	V23	32.5	40.0	2.5
24	V24	42.5	40.0	2.5
