Name Position Velocity in70
id,	name,	x,	y,	velo,
0,	V0,	5.0,	2.5,	2.5
1,	V1,	49.0,	12.0,	3.0
2,	V2,	24.0,	2.0,	2.0
3,	V3,	32.0,	0.0,	2.0
4,	V4,	46.0,	0.0,	2.0
5,	V5,	3.0,	13.0,	3.0
6,	V6,	20.0,	14.0,	2.0
7,	V7,	22.5,	12.5,	2.5
8,	V8,	34.0,	12.0,	2.0
9,	V9,	46.0,	12.0,	2.0
10,	V10,	26.0,	22.0,	2.0
11,	V11,	45.0,	23.0,	2.5
12,	V12,	22.0,	22.0,	2.0
13,	V13,	45.0,	18.0,	2.5
14,	V14,	42.0,	20.0,	2.0
15,	V15,	15.0,	27.0,	3.0
16,	V16,	40.0,	38.5,	2.5
17,	V17,	28.0,	30.0,	2.0
18,	V18,	39.0,	33.0,	3.0
19,	V19,	49.0,	30.0,	3.0
20,	V20,	2.5,	42.5,	2.5
21,	V21,	16.0,	40.0,	3.0
22,	V22,	26.0,	43.0,	3.0
23,	V23,	37.5,	40.0,	2.5
24,	V24,	49.0,	37.0,	3.0
