
1.1.true
Vehicle TOPO

ReqID,	a(SrcNode),	i(DesNode),	k(Path),	p(Ratio),	dtTrans,	tArrival,	start,	end,	timeSer(PSO),	t_wait,	t_proc,	t_serv,	moved_data,
1,	V6,	V1,	V6,	0.0606060606060606,	0.1212121212121212,	0.1212121212121212,	0.1212121212121212,	1.2424242424242422,	1.121212121212121,	0.0,	1.121212121212121,	1.2424242424242422,	0.0
1,	V6,	V5,	V6,	0.0606060606060606,	0.1212121212121212,	0.1212121212121212,	0.1212121212121212,	1.2424242424242422,	1.121212121212121,	0.0,	1.121212121212121,	1.2424242424242422,	0.0
1,	V6,	V6,	V6,	0.7784625518229127,	0.0,	0.0,	0.0,	1.0,	12.84463210507806,	0.0,	1.0,	1.0,	358.92824560842604
1,	V6,	V7,	V6,	0.03971926635890571,	0.07943853271781141,	0.07943853271781141,	0.07943853271781141,	0.8142449603575671,	1.7348064276397555,	0.0,	0.7348064276397557,	0.8142449603575671,	0.0
1,	V6,	V11,	V6,	0.0606060606060606,	0.1212121212121212,	0.1212121212121212,	0.1212121212121212,	1.2424242424242422,	1.121212121212121,	0.0,	1.121212121212121,	1.2424242424242422,	0.0
21,	V9,	V4,	V9,	0.0606060606060606,	0.1212121212121212,	0.1212121212121212,	0.1212121212121212,	1.2424242424242422,	1.121212121212121,	0.0,	1.121212121212121,	1.2424242424242422,	0.0
21,	V9,	V9,	V9,	0.8787878787878789,	0.0,	0.0,	0.0,	1.0,	14.500000000000002,	0.0,	1.0,	1.0,	409.0909090909091
21,	V9,	V14,	V9,	0.0606060606060606,	0.1212121212121212,	0.1212121212121212,	0.1212121212121212,	1.2424242424242422,	1.121212121212121,	0.0,	1.121212121212121,	1.2424242424242422,	0.0
41,	V8,	V3,	V8,	0.0606060606060606,	0.1212121212121212,	0.1212121212121212,	0.1212121212121212,	1.2424242424242422,	1.121212121212121,	0.0,	1.121212121212121,	1.2424242424242422,	0.0
41,	V8,	V7,	V8,	0.0606060606060606,	0.1212121212121212,	0.1212121212121212,	0.8142449603575671,	1.8142449603575672,	1.7765800161340652,	0.6930328391454459,	1.0,	1.8142449603575672,	0.0
