
1.1.true

ReqID	a(SrcNode)	i(DesNode)	k(Path)	p(Ratio)	dtTrans	tArrival	start	end	timeSer(PSO)	t_wait	t_proc	t_serv	moved_data
1	V6	V1	V6	0.049281820207163825	0.09856364041432765	0.09856364041432765	0.09856364041432765	0.9117136738325308	0.9117136738325308	0.0	0.8131500334182031	0.9117136738325308	0.0
1	V6	V5	V6	0.0606060606060606	0.1212121212121212	0.1212121212121212	0.1212121212121212	1.121212121212121	1.121212121212121	0.0	0.9999999999999999	1.121212121212121	0.0
1	V6	V6	V6	0.7688999979746545	0.0	0.0	0.0	1.0	12.6868499665818	0.0	1.0	1.0	354.14696868429695
1	V6	V7	V6	0.0606060606060606	0.1212121212121212	0.1212121212121212	0.8893979440092328	1.8893979440092328	1.9144589361392748	0.7681858227971116	1.0	1.8893979440092328	0.0
1	V6	V11	V6	0.0606060606060606	0.1212121212121212	0.1212121212121212	0.1212121212121212	1.121212121212121	1.121212121212121	0.0	0.9999999999999999	1.121212121212121	0.0
11	V9	V4	V9	0.0606060606060606	0.1212121212121212	0.1212121212121212	0.1212121212121212	1.121212121212121	1.121212121212121	0.0	0.9999999999999999	1.121212121212121	0.0
11	V9	V9	V9	0.8787878787878789	0.0	0.0	0.0	1.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
11	V9	V14	V9	0.0606060606060606	0.1212121212121212	0.1212121212121212	0.1212121212121212	1.121212121212121	1.121212121212121	0.0	0.9999999999999999	1.121212121212121	0.0
21	V8	V3	V8	0.0606060606060606	0.1212121212121212	0.1212121212121212	0.1212121212121212	1.121212121212121	1.121212121212121	0.0	0.9999999999999999	1.121212121212121	0.0
21	V8	V7	V8	0.0480755645410396	0.0961511290820792	0.0961511290820792	0.0961511290820792	0.8893979440092328	1.8893979440092328	0.0	0.7932468149271535	0.8893979440092328	0.0
21	V8	V8	V8	0.8307123142468393	0.0	0.0	0.0	1.0	13.70675318507285	0.0	1.0	1.0	385.05312682038937
21	V8	V13	V8	0.0606060606060606	0.1212121212121212	0.1212121212121212	0.1212121212121212	1.121212121212121	1.121212121212121	0.0	0.9999999999999999	1.121212121212121	0.0
2	V6	V1	V6	0.05413874079268985	0.1082774815853797	1.1082774815853798	1.1082774815853798	2.0015667046647625	1.0015667046647623	0.0	0.8932892230793827	1.0015667046647625	0.0
2	V6	V5	V6	0.0606060606060606	0.1212121212121212	1.121212121212121	1.121212121212121	2.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
2	V6	V6	V6	0.738145401328781	0.0	1.0	1.0	2.0	12.179399121924888	0.0	1.0	1.0	338.7696703613602
2	V6	V7	V6	0.0606060606060606	0.1212121212121212	1.121212121212121	1.8893979440092328	2.8893979440092328	3.010610065221354	0.7681858227971117	1.0	1.8893979440092328	0.0
2	V6	V10	V6	0.0258976760603474	0.0517953521206948	1.0517953521206949	1.0517953521206949	1.479107007116427	0.4791070071164269	0.0	0.4273116549957321	0.4791070071164269	0.0
2	V6	V11	V6	0.0606060606060606	0.1212121212121212	1.121212121212121	1.121212121212121	2.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
12	V9	V4	V9	0.0606060606060606	0.1212121212121212	1.121212121212121	1.121212121212121	2.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
12	V9	V9	V9	0.8787878787878789	0.0	1.0	1.0	2.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
12	V9	V14	V9	0.0606060606060606	0.1212121212121212	1.121212121212121	1.121212121212121	2.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
22	V8	V2	V8	0.0606060606060606	0.1212121212121212	1.121212121212121	1.121212121212121	2.121212121212121	1.121212121212121	0.0	1.0	1.121212121212121	0.0
22	V8	V3	V8	0.0606060606060606	0.1212121212121212	1.121212121212121	1.121212121212121	2.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
22	V8	V7	V8	0.0606060606060606	0.1212121212121212	1.121212121212121	2.8893979440092328	3.8893979440092328	3.010610065221354	1.7681858227971117	1.0	2.8893979440092328	0.0
22	V8	V8	V8	0.7501628829907481	0.0	1.0	1.0	2.0	12.377687569347342	0.0	1.0	1.0	344.7784111923437
22	V8	V12	V8	0.007412874585009685	0.01482574917001937	1.0148257491700194	1.0148257491700194	1.1371381798226792	0.13713817982267917	0.0	0.12231243065265973	0.1371381798226791	0.0
22	V8	V13	V8	0.0606060606060606	0.1212121212121212	1.121212121212121	1.121212121212121	2.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
3	V6	V1	V6	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.1227788258768834	0.0	1.0	1.121212121212121	0.0
3	V6	V5	V6	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
3	V6	V6	V6	0.6969696969696972	0.0	2.0	2.0	3.0	11.500000000000005	0.0	1.0	1.0	318.1818181818183
3	V6	V7	V6	0.0606060606060606	0.1212121212121212	2.121212121212121	3.8893979440092328	4.889397944009232	4.010610065221354	1.7681858227971117	0.9999999999999996	2.8893979440092323	0.0
3	V6	V10	V6	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.121212121212121	0.0	1.0	1.121212121212121	0.0
3	V6	V11	V6	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
13	V9	V4	V9	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
13	V9	V9	V9	0.8787878787878789	0.0	2.0	2.0	3.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
13	V9	V14	V9	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
23	V8	V2	V8	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.2424242424242422	0.0	1.0	1.121212121212121	0.0
23	V8	V3	V8	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
23	V8	V7	V8	0.0606060606060606	0.1212121212121212	2.121212121212121	4.889397944009232	5.889397944009232	4.010610065221354	2.7681858227971112	1.0	3.8893979440092323	0.0
23	V8	V8	V8	0.7191037550324832	0.0	2.0	2.0	3.0	11.865211958035975	0.0	1.0	1.0	329.2488472132113
23	V8	V12	V8	0.038472002543274535	0.07694400508654907	2.076944005086549	2.076944005086549	2.711732047050579	0.711732047050579	0.0	0.6347880419640299	0.711732047050579	0.0
23	V8	V13	V8	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
4	V6	V1	V6	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.242424242424242	0.0	1.0	1.121212121212121	0.0
4	V6	V5	V6	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
4	V6	V6	V6	0.7311690160330114	0.0	3.0	3.0	4.0	12.064288764544688	0.0	1.0	1.0	335.2814777134754
4	V6	V7	V6	0.026406741542746335	0.05281348308549267	3.0528134830854925	5.889397944009232	6.325109179464547	4.3779226625500405	2.83658446092374	0.4357112354553143	3.3251091794645466	0.0
4	V6	V10	V6	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
4	V6	V11	V6	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
14	V9	V4	V9	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
14	V9	V9	V9	0.8787878787878789	0.0	3.0	3.0	4.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
14	V9	V14	V9	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
24	V8	V2	V8	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
24	V8	V3	V8	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
24	V8	V7	V8	0.0606060606060606	0.1212121212121212	3.121212121212121	6.325109179464547	7.325109179464547	4.446321300676668	3.2038970582524255	1.0	4.325109179464547	0.0
24	V8	V8	V8	0.7467600608514298	0.0	3.0	3.0	4.0	12.321541004048592	0.0	1.0	1.0	343.0770001226846
24	V8	V12	V8	0.010815696724328076	0.021631393448656153	3.021631393448656	3.021631393448656	3.2000903894000694	0.2000903894000694	0.0	0.17845899595141335	0.2000903894000695	0.0
24	V8	V13	V8	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
5	V6	V1	V6	0.0606060606060606	0.1212121212121212	4.121212121212121	4.121212121212121	5.121212121212121	1.242424242424242	0.0	1.0	1.121212121212121	0.0
5	V6	V5	V6	0.05784922172975792	0.11569844345951584	4.115698443459515	4.121212121212121	5.075724279753127	1.191422723212643	0.005513677752605695	0.9545121585410055	1.075724279753127	0.0
5	V6	V6	V6	0.6997265358459999	0.0	4.0	4.0	5.0	11.545487841458998	0.0	1.0	1.0	319.5602376199696
5	V6	V7	V6	0.0606060606060606	0.1212121212121212	4.121212121212121	7.325109179464547	8.325109179464548	5.446321300676669	3.2038970582524255	1.0000000000000009	4.3251091794645475	0.0
5	V6	V10	V6	0.0606060606060606	0.1212121212121212	4.121212121212121	4.121212121212121	5.121212121212121	1.242424242424242	0.0	1.0	1.121212121212121	0.0
