
 List REQ: 
id	srcNode	timeArrival	workLoad	
1	1	0.0	30
2	1	1.0	80
3	1	2.0	24
4	1	3.0	60
5	1	4.0	30
6	1	5.0	30
7	1	6.0	24
8	1	7.0	40
9	1	8.0	80
10	1	9.0	80
11	1	10.0	40
12	1	11.0	80
13	1	12.0	24
14	1	13.0	40
15	1	14.0	40
16	1	15.0	30
17	1	16.0	60
18	1	17.0	30
19	1	18.0	30
20	1	19.0	24
21	1	20.0	24
22	1	21.0	60
23	1	22.0	80
24	1	23.0	30
25	1	24.0	40
26	1	25.0	40
27	1	26.0	80
28	1	27.0	24
29	1	28.0	24
30	1	29.0	40
31	1	30.0	60
32	1	31.0	30
33	1	32.0	24
34	1	33.0	24
35	1	34.0	60
36	1	35.0	24
37	1	36.0	80
38	1	37.0	60
39	1	38.0	24
40	1	39.0	60
41	1	40.0	24
42	1	41.0	24
43	1	42.0	60
44	1	43.0	80
45	1	44.0	40
46	1	45.0	60
47	1	46.0	30
48	1	47.0	30
49	1	48.0	80
50	1	49.0	80
51	1	50.0	30
52	1	51.0	80
53	1	52.0	40
54	1	53.0	80
55	1	54.0	40
56	1	55.0	60
57	1	56.0	24
58	1	57.0	40
59	1	58.0	24
60	1	59.0	40
61	1	60.0	60
62	1	61.0	24
63	1	62.0	80
64	1	63.0	40
65	1	64.0	24
66	1	65.0	30
67	1	66.0	40
68	1	67.0	60
69	1	68.0	24
70	1	69.0	30
71	1	70.0	60
72	1	71.0	24
73	1	72.0	60
74	1	73.0	80
75	1	74.0	24
76	1	75.0	24
77	1	76.0	60
78	1	77.0	30
79	1	78.0	30
80	1	79.0	80
81	1	80.0	24
82	1	81.0	80
83	1	82.0	30
84	1	83.0	24
85	1	84.0	24
86	1	85.0	80
87	1	86.0	40
88	1	87.0	60
89	1	88.0	40
90	1	89.0	40
91	1	90.0	24
92	1	91.0	40
93	1	92.0	40
94	1	93.0	24
95	1	94.0	60
96	1	95.0	24
97	1	96.0	80
98	1	97.0	30
99	1	98.0	40
100	1	99.0	60
101	4	0.0	30
102	4	1.0	40
103	4	2.0	60
104	4	3.0	24
105	4	4.0	24
106	4	5.0	24
107	4	6.0	40
108	4	7.0	40
109	4	8.0	60
110	4	9.0	24
111	4	10.0	80
112	4	11.0	40
113	4	12.0	40
114	4	13.0	80
115	4	14.0	80
116	4	15.0	80
117	4	16.0	30
118	4	17.0	24
119	4	18.0	60
120	4	19.0	40
121	4	20.0	24
122	4	21.0	30
123	4	22.0	80
124	4	23.0	30
125	4	24.0	80
126	4	25.0	60
127	4	26.0	80
128	4	27.0	80
129	4	28.0	30
130	4	29.0	40
131	4	30.0	40
132	4	31.0	24
133	4	32.0	30
134	4	33.0	30
135	4	34.0	40
